STN,YYYYMMDD,   TN,   TX,   RH
344,20180120,   14,   43,   12
344,20180121,   06,   71,   23
344,20180122,   28,   88,    5
344,20180123,   35,  114,   14
344,20180124,   73,  141,   52
344,20180125,   61,   91,    1
344,20180126,   27,   78,    0
344,20180127,    3,   77,   14
344,20180128,   77,  112,    3
344,20180129,   39,  108,   28
344,20180130,    6,   74,    0
344,20180131,   20,   97,   62
344,20180201,   25,   64,   71
344,20180202,   -8,   72,   59
344,20180203,   -9,   44,   50
344,20180204,    2,   42,    1
344,20180205,  -23,   41,    0
344,20180206,  -44,   15,    0
344,20180207,  -59,   22,    0
344,20180208,  -21,   53,    0
344,20180209,   -4,   24,   10
344,20180210,    7,   67,   17
344,20180211,   25,   71,   78
344,20180212,   15,   59,    1
344,20180213,    0,   66,    0
344,20180214,   -7,   61,    4
344,20180215,    4,  100,   49
344,20180216,   -5,   79,    0
344,20180217,  -26,   74,    0
344,20180218,  -44,   80,    0
344,20180219,   14,   39,    0
344,20180220,  -26,   48,    0
344,20180221,  -32,   51,    0
344,20180222,  -26,   52,    0
344,20180223,  -38,   35,    0
344,20180224,  -33,   43,    0
344,20180225,  -43,   18,    0
344,20180226,  -56,    5,    0
344,20180227,  -64,    6,    0
344,20180228,  -80,  -33,    0
344,20180301,  -78,    4,    0
344,20180302,  -66,   -4,    2
344,20180303,  -36,   13,    3
344,20180304,   02,  106,   52
344,20180305,   32,  114,    0
344,20180306,   12,  109,    0
344,20180307,    7,   97,    3
344,20180308,   25,   89,   40
344,20180309,   26,   99,   37
344,20180310,   78,  144,   44
344,20180311,   65,  135,   90
344,20180312,   57,  133,   25
344,20180313,   19,   78,   20
344,20180314,    3,  125,    0
344,20180315,   44,  103,   73
344,20180316,    1,   70,   29
344,20180317,  -22,    1,    1
344,20180318,  -25,   19,    0
344,20180319,  -39,   44,    0
344,20180320,  -22,   81,    1
344,20180321,  -26,   81,    0
344,20180322,   45,  100,   64
344,20180323,   50,   72,    0
344,20180324,   20,  105,    0
344,20180325,    3,  122,    0
344,20180326,   -2,  114,    0
344,20180327,   -2,   88,   31
344,20180328,   33,   76,  115
344,20180329,   29,  105,    7
344,20180330,   63,  132,   47
344,20180331,   38,  113,    0
344,20180401,   10,   71,  117
344,20180402,   38,  133,   38
344,20180403,   89,  169,  113
344,20180404,   80,  147,    9
344,20180405,   23,  100,    7
344,20180406,   32,  149,    0
344,20180407,   72,  208,    0
344,20180408,   81,  206,    0
344,20180409,   86,  156,    6
344,20180410,   79,  188,  183
344,20180411,  104,  158,    0
344,20180412,   74,  132,    6
344,20180413,   56,  134,    0
344,20180414,   70,  160,   17
344,20180415,  100,  172,   25
344,20180416,   74,  145,    1
344,20180417,   76,  194,    0
344,20180418,  108,  239,    0
344,20180419,  129,  275,    0
344,20180420,   95,  244,    0
344,20180421,   72,  215,    0
344,20180422,  111,  252,    0
344,20180423,   98,  149,    0
344,20180424,   99,  146,    1
344,20180425,   93,  141,   24
344,20180426,   79,  130,    9
344,20180427,   66,  149,    1
344,20180428,   53,  137,   16
344,20180429,   55,  121,  166
344,20180430,   59,  111,  333
344,20180501,   58,  126,  107
344,20180502,   64,  167,    9
344,20180503,   44,  145,    0
344,20180504,   25,  180,    0
344,20180505,   61,  213,    0
344,20180506,   77,  249,    0
344,20180507,  107,  251,    0
344,20180508,  108,  272,    0
344,20180509,  104,  210,    0
344,20180510,   49,  164,    0
344,20180511,   29,  189,    0
344,20180512,  108,  230,    0
344,20180513,  110,  173,    0
344,20180514,  104,  219,    0
344,20180515,   97,  242,    0
344,20180516,   91,  196,    0
344,20180517,   60,  136,    0
344,20180518,   56,  134,    0
344,20180519,   71,  131,    0
344,20180520,   45,  224,    0
344,20180521,   96,  260,    0
344,20180522,  143,  241,   42
344,20180523,  136,  239,   11
344,20180524,  133,  207,   15
344,20180525,  140,  237,    0
344,20180526,  147,  287,    0
344,20180527,  163,  262,    0
344,20180528,  152,  294,    0
344,20180529,  166,  298,  178
344,20180530,  165,  273,   16
344,20180531,  149,  242,  162
344,20180601,  137,  205,  155
344,20180602,  134,  187,   33
344,20180603,  120,  235,    0
344,20180604,  142,  220,    0
344,20180605,  121,  189,    0
344,20180606,  110,  264,    0
344,20180607,  135,  275,    0
344,20180608,  154,  235,   10
344,20180609,  149,  233,    0
344,20180610,  127,  218,    0
344,20180611,  114,  231,    0
344,20180612,  127,  164,    0
344,20180613,  116,  183,    0
344,20180614,  132,  203,    8
344,20180615,  130,  234,    0
344,20180616,  143,  200,    0
344,20180617,  142,  188,    1
344,20180618,  149,  192,    2
